en_clean,ar_clean
do you know where he went,طب ما تعرفيش ممكن يكون راح فين؟
we cant find him anywhere,احنا مش لاقينه في اي حتة
no i dont,لا، ماعرفش
please let us know if you hear anything,طب ممكن لو عرفتي اي حاجة تبلغينا؟
were at raeefas place,احنا هنا عند ابلة رييفة في البيت
taha are you okay,طه، انت كويس؟
raeefa,ابلة رييفة
i came in and found him drawing these,انا دخلت عليه لقيته بيرسم الرسومات دي كتير
what are these drawings taha,الرسومات دي ايه يا طه؟
did you see her again,انت شوفتها تاني؟
taha answer me,طه، رد عليا
what nonsense are you talking about,شاف مين يا رييفة انت اتجنتتي؟
thats the al khadrawy house,ده بيت الخضراوي
i swear it is,والله هو
stop the nonsense,بطلي تخاريف انت التانية
the boy just lost his father and hes hallucinating,الواد ابوه لسه ميت وبيخطرف
you repeated the story until he believed it,فضلتوا تقولوا الحكاية قدامه لحد ما صدقها
just like when he was trying to jump off the roof,زي ما كان هينط من ع السور يوم العزومة
lets assume he believed the story but how did he draw the house,طب الحكاية وصدقها، البيت ده رسمه ازاي؟
he never saw it,ده لا عمره راح البلد ولا شاف البيت من اساسه
i saw her too on the day i was hospitalized,انا كمان يا ابيه شوفتها اليوم اللي نقلوني فيه المستشفي
what,ايه؟
what does that wench want from us,عايزة ايه مننا بنت الكلب دي؟
reda,رضا
he made us swear never to go and see her again,رضا هو اللي حلفنا مانروحلهاش تاني
and talaat she must be the one who,وطلعت تكونش هي
this means shiraz wants the kids who have played with her in the past,شيراز عايزة العيال اللي كانوا بيلعبوا معاها زمان
she wants to kill us one by one,يعني ايه؟ عايزة تخلص علينا واحد واحد؟
were the only ones left,مافضلش غيرنا
whose turn will it be now,ياتري الدور علي مين فينا؟
refaat,رفعت
he must have gone to that house,اكيد راح لها بيت الخضراوي
elham can you please shut up so we can figure out what to do,تعرفي تخرسي يا الهام علشان اعرف افكر هنعمل ايه؟
we have to go to the mansion and save refaat,احنا لازم نروح بيت الخضراوي ننقذ رفعت
have you lost your mind,نروح فين يا رييفة؟ انت اتجننتي؟
you want us to go to her,عايزانا نروح لها برجلينا؟
do you think she cant come to you here,وانت فاكر يعني انها مش هتقدر تجيلك هنا؟
if youre scared then stay with the kids,لو خايف، خليك مع العيال
watch yourself raeefa,حاسبي علي كلامك يا رييفة
im not afraid,انا مش خايف
you are,لا، خايف
you always pretend to be braced but youre the first to run,وطول عمرك عامل فيها سبع البرمبة وانت وقت الجد اول واحد بتجري
do i do that raeefa,انا يا رييفة؟
may god forgive you,ماشي، الله يسامحك
lets all go to the al khadrawys house to get refaat,يالا يا اختي نروح بيت الخضراوي علشان نجيب رفعت
i hope we can return this time,بس علي الله نرجع منه المرة دي
refaats 56th law,قانون رفعت رقم
the disappearance of the monster is scarier than the monster itself,احيانا يكون اختفاء الوحش مرعب اكتر من الوحش نفسه
ready or not,خلاويص؟
no not yet,لسه
no not yet,لسه
ready or not,خلاويص؟
ready or not,خلاويص؟
no not yet,لسه
no not yet,لسه
ready or not,خلاويص؟
hide your tail feathers birdie,خبي ديلك يا عصفور
i caught you refaat,مسكتك يا رفعت
come out guy,يا جماعة اطلعوا خلاص
as usual refaat cant play hideandseek,كالعادة رفعت ما بيعرفش يلعب استغماية
refaat is it,رفعت اللي فيها
ready or not,خلاويص؟
ready or not,خلاويص؟
ready or not,خلاويص؟
if i had known that hide and seek would be crucial to me one day i would have focused on it more than medicine,ياريتني كنت اعرف ان الاستغماية هتكون مهمة في يوم بالنسبة لي كنت ركزت فيها اكتر من الطب
this is the perfect life for a hero of greek mythology,حياة لايقة جدا علي بطل ماساة اغريقية
just like sisyphus every time he reaches the mountaintop the rock rolls back down,زي سيزيف، كل ما بيوصل لقمة الجبل الصخرة بتقع منه
every time i find a solution it turns out to be wrong,كل ما بلاقي الحل بيطلع مش هو
but sisyphus tricked the god of death,بس سيزيف خدع اله الموت
now refaat what have you done,انت بقا يا رفعت، عملت ايه؟
the fountain is the only thing left in place,الحاجة الوحيدة اللي في مكانها هي النافورة
all this time all you wanted from me was to save you,انت كل ده كنت بتطلبي مني ان انا ارجع انقذك
how stupid of me,غبي
i didnt understand,مافهمتش
refaat,رفعت
what,ايه ده؟
why are you here,ايه اللي جابك هنا؟
we came to look for you,جينا ندور عليك
we couldnt leave you alone,ماينفعش نسيبك لوحدك
is she going to kill us refaat,هي هتموتنا يا رفعت؟
did you see her refaat,رفعت، انت شوفتها يا رفعت؟
dont worry,ماتقلقوش
she will not appear to anyone ever again,مش هتظهر لحد تاني
follow me,تعالوا ورايا
raeefa,رييفة
elham,الهام
raeefa,رييفة
refaat,يا رفعت
refaat,يا رفعت
help me refaat,الحقني، يا رفعت
how did you get up here,انت ازاي وصلت لهنا؟
help,الحقني
im going to die,هموت
dont move,ماتتحركش
the rope wont hold it will break and you will fall,الحبل مش هيستحمل، هينقطع وهتقع
wait wait,استني استني
hurry up,اتصرف بسرعة
hurry up,بسرعة
hurry up refaat,بسرعة، يا رفعت
refaat,رفعت
what should i do refaat,اعمل ايه يا رفعت؟
please help me,ساعدني
elham,الهام
stand still,اثبتي
movement provokes them,الحركة هتستفزهم
im so scared refaat,انا خايفة اوي يا رفعت
do something,اعمل حاجة
stay still,ماتتحركيش
elham,الهام
refaat help,رفعت، الحقني يا رفعت
raeefa,رييفة
come down refaat,انزل، رفعت
leave me be maggie,سيبيني يا ماجي
i have to die like they did,انا لازم اموت زيهم
raeefa elham and medhat,رييفة والهام ومدحت
theyre dead,ماتوا
theres no one here refaat,مفيش حد يا رفعت
theyre dead,ماتوا
these must be hallucinations,دي اكيد
i dug up shirazs body but her soul refused peace,انا طلعت جثة شيراز بس روحها مش عايزة تهدي
i dont get it,انا مش فاهم
im going crazy,هاتجنن
someone wants me to lose it maggie,في حد عايزني اتجنن يا ماجي
calm down so you can think clearly,اهدي علشان تعرف تفكر
if you have indeed found the corpse then why is this happening,لو انت لقيت الجثة ليه كل ده لسه بيحصل؟
you made him catch me,انت اللي خليتيه يمسكني
the berry bag was visible from behind the curtain,كيس التوت كان باين من ورا الستارة
i tried to help you but youre stupid,انا حاولت اساعدك بس انت اللي غبي
shiraz wait,شيراز استني
shiraz,شيراز
shiraz was trying to help me all this time,شيراز كانت بتحاول طول الوقت تساعدني
shiraz,شيراز
refaat i tried but he didnt leave me,رفعت، انا حاولت بس هو ماسبنيش
